# 12+log(O/H)	err(12+log(O/H))	log(N/O)	err(log(N/O))
8.967	0.521	-0.500	0.279
8.602	0.092	-0.591	0.118
8.537	0.130	-0.576	0.166
8.415	0.200	-0.443	0.264
8.902	0.167	-0.998	0.222
8.350	0.098	-0.617	0.128
