# region	12+log(O/H)	log(N/O)	log(S/O)	log(Ar/O)	log(Ne/O)
# Abundances are followed by the associated uncertainty
NGC628-35.9+57.7   8.52 0.04 -0.64 0.05 -1.14 0.07 -1.90 0.06            
NGC628+49.8+48.7   8.64 0.04 -0.76 0.05 -1.20 0.07 -2.03 0.06 -1.02 0.03 
NGC628-73.1-27.3   8.37 0.02 -0.62 0.02 -1.14 0.03 -2.03 0.05 -0.73 0.04 
NGC628-76.2+22.9   8.40 0.08 -0.63 0.11 -1.02 0.15 -1.92 0.13            
NGC628-36.8-73.4   8.43 0.04 -0.65 0.05 -1.21 0.07 -2.15 0.06            
NGC628+68.5+53.4   8.32 0.05 -0.62 0.07 -0.97 0.08 -1.89 0.07 -0.67 0.04 
NGC628+81.6-32.3   8.62 0.03 -0.70 0.04 -1.08 0.06 -1.89 0.06            
NGC628-68.5+61.7   8.67 0.09 -0.78 0.12 -1.22 0.16 -2.02 0.11            
NGC628+76.9-49.6   8.74 0.14 -0.74 0.17 -1.21 0.23 -1.96 0.16            
NGC628-13.1+107.5  8.59 0.01 -0.87 0.02 -1.20 0.03 -2.02 0.04 -0.81 0.01 
NGC628+53.5-104.0  8.47 0.13 -0.78 0.17 -1.23 0.23 -2.09 0.18            
NGC628-35.7+119.6  8.73 0.03 -0.91 0.05 -1.26 0.06 -2.15 0.05 -0.83 0.02 
NGC628-20.3+124.6  8.63 0.01 -0.90 0.02 -1.17 0.03 -2.07 0.04 -0.87 0.01 
NGC628-59.6-111.6  8.58 0.04 -0.78 0.06 -1.23 0.08 -2.07 0.06 -0.73 0.03 
NGC628+61.2+113.5  8.73 0.03 -0.99 0.04 -1.42 0.06 -2.13 0.05 -1.03 0.03 
NGC628+42.6-120.7  8.62 0.06 -0.92 0.08 -1.18 0.10 -2.10 0.07 -0.68 0.04 
NGC628+131.9+18.5  8.56 0.02 -0.89 0.03 -1.20 0.03 -2.19 0.05 -0.65 0.02 
NGC628+125.4-62.4  8.64 0.11 -1.04 0.15 -1.36 0.19 -2.16 0.15            
NGC628-130.9+71.8  8.55 0.02 -0.97 0.03 -1.26 0.04 -2.13 0.05 -0.82 0.02 
NGC628+131.7-70.2  8.57 0.05 -1.07 0.07 -1.48 0.09 -2.24 0.08 -0.67 0.07 
NGC628+151.0+22.3  8.61 0.07 -0.93 0.12 -1.09 0.14 -2.10 0.10 -0.87 0.09 
NGC628-157.9-0.3   8.45 0.09 -0.94 0.14 -1.11 0.16 -2.03 0.12            
NGC628-24.5-155.6  8.62 0.06 -1.01 0.09 -1.29 0.12 -2.17 0.10 -0.75 0.10 
NGC628-129.8+94.7  8.57 0.05 -0.95 0.08 -1.17 0.10 -2.19 0.07 -0.61 0.03 
NGC628+140.3+82.0  8.35 0.03 -0.93 0.04 -1.29 0.06 -2.16 0.06 -0.99 0.04 
NGC628-42.8-158.2  8.54 0.03 -1.03 0.05 -1.09 0.06 -2.15 0.05 -0.78 0.02 
NGC628+147.9-71.8  8.55 0.11 -1.03 0.15 -1.29 0.20 -2.19 0.15 -0.75 0.19 
NGC628+163.5+64.4  8.65 0.08 -0.97 0.12 -1.22 0.15 -2.15 0.10 -0.77 0.06 
NGC628-4.5+185.6   8.39 0.03 -1.10 0.06 -1.31 0.07 -2.21 0.05 -0.84 0.02 
NGC628+176.7-50.0  8.41 0.08 -0.91 0.12 -1.19 0.16 -2.15 0.12 -0.68 0.13 
NGC628-76.2-171.8  8.63 0.05 -1.10 0.08 -1.32 0.10 -2.30 0.09 -0.52 0.09 
NGC628+31.6-191.1  8.55 0.13 -1.09 0.20 -1.38 0.23 -2.25 0.14 -0.79 0.06 
NGC628-200.6-4.2   8.53 0.10 -1.07 0.17 -1.15 0.19 -2.11 0.12 -0.85 0.11 
NGC628-184.7+83.4  8.63 0.01 -1.10 0.02 -1.24 0.03 -2.20 0.04 -0.70 0.01 
NGC628-206.5-25.7  8.60 0.05 -1.22 0.11 -1.16 0.12 -2.14 0.10 -0.61 0.09 
NGC628-90.1+190.2  8.56 0.01 -1.14 0.01 -1.41 0.02 -2.24 0.04 -0.79 0.01 
NGC628-168.2+150.8 8.27 0.01 -1.09 0.02 -1.24 0.02 -2.23 0.04 -0.76 0.02 
NGC628+232.7+6.6   8.58 0.07 -1.19 0.12 -1.30 0.15 -2.31 0.12 -0.56 0.13 
NGC628+237.6+3.0   8.58 0.10 -1.23 0.16 -1.39 0.20 -2.36 0.16 -0.57 0.16 
NGC628+254.3-42.8  8.39 0.04 -1.05 0.07 -1.24 0.09 -2.44 0.08 -0.49 0.07 
NGC628+252.1-92.1  8.24 0.06 -1.05 0.14 -1.26 0.09 -2.17 0.10 -0.61 0.10 
NGC628+261.9-99.7  8.21 0.09 -1.12 0.13 -1.47 0.17 -2.43 0.13 -0.40 0.14 
NGC628+265.2-102.2 8.10 0.07 -1.20 0.11 -1.41 0.13 -2.26 0.11            
NGC628+289.9-17.4  8.33 0.02 -1.37 0.04 -1.32 0.05 -2.11 0.05 -0.67 0.04 
NGC628+298.4+12.3  8.30 0.02 -1.37 0.04 -1.32 0.05 -1.99 0.05 -0.64 0.03 
