# region	12+log(O/H)	log(N/O)	log(S/O)	log(Ar/O)	log(Ne/O)
# Abundances are followed by the associated uncertainty
NGC5457+129.2+161.7 8.30 0.04 -0.71 0.05 -1.31 0.07 -2.17 0.07 -1.05 0.06 
NGC5457-145.1+146.8 8.87 0.08 -1.00 0.12 -1.25 0.16 -2.17 0.13 -0.77 0.13 
NGC5457+103.5+192.6 8.46 0.08 -0.85 0.11 -1.35 0.16 -2.11 0.13 -0.98 0.14 
NGC5457-205.4-98.2  8.57 0.09 -0.90 0.13 -1.17 0.17 -2.28 0.11 -1.05 0.08 
NGC5457+17.3-235.4  8.62 0.07 -1.02 0.12 -1.32 0.14 -2.26 0.09 -0.97 0.04 
NGC5457+36.8-233.4  8.45 0.03 -0.99 0.06 -1.50 0.06 -2.27 0.06 -0.86 0.06 
NGC5457+139.0+200.7 8.53 0.08 -0.96 0.10 -1.48 0.14 -2.26 0.11 -0.75 0.13 
NGC5457+189.2-136.3 8.58 0.02 -0.99 0.05 -1.59 0.05 -2.27 0.05 -0.81 0.01 
NGC5457-183.9-179.0 8.68 0.14 -1.08 0.23 -1.36 0.25 -2.25 0.15 -0.67 0.07 
NGC5457-249.4-51.3  8.51 0.06 -0.90 0.08 -1.38 0.11 -2.28 0.09 -0.54 0.08 
NGC5457-250.8-52.0  8.59 0.11 -0.94 0.15 -1.45 0.20 -2.46 0.16 -0.28 0.16 
NGC5457+225.6-124.1 8.49 0.05 -1.05 0.08 -1.53 0.10 -2.35 0.07 -0.81 0.03 
NGC5457+117.9-235.0 8.30 0.07 -1.10 0.11 -1.45 0.14 -2.24 0.11 -0.95 0.11 
NGC5457-208.0-180.7 8.45 0.10 -0.92 0.17 -1.34 0.19 -2.29 0.11 -0.65 0.05 
NGC5457-12.3-271.1  8.49 0.08 -0.99 0.10 -1.49 0.14 -2.06 0.12 -0.99 0.12 
NGC5457-200.3-193.6 8.60 0.06 -1.13 0.11 -1.33 0.12 -2.32 0.10 -0.72 0.10 
NGC5457+96.7+266.9  8.49 0.08 -0.96 0.11 -1.46 0.14 -2.32 0.09 -0.70 0.06 
NGC5457+67.5+277.0  8.52 0.05 -1.04 0.10 -1.37 0.11 -2.27 0.07 -0.73 0.05 
NGC5457+252.2-109.8 8.53 0.08 -1.01 0.13 -1.52 0.15 -2.48 0.10 -0.77 0.06 
NGC5457+254.6-107.2 8.50 0.01 -0.98 0.02 -1.46 0.04 -2.18 0.04 -0.77 0.01 
NGC5457+281.4-71.8  8.42 0.05 -1.15 0.08 -1.48 0.09 -2.28 0.08 -0.89 0.07 
NGC5457-243.0+159.6 8.49 0.06 -1.00 0.09 -1.23 0.12 -2.20 0.11 -0.92 0.12 
NGC5457+249.3+201.9 8.42 0.09 -1.06 0.16 -1.34 0.18 -2.31 0.10 -0.71 0.05 
NGC5457-297.7+87.1  8.45 0.10 -1.04 0.15 -1.38 0.19 -2.25 0.13 -0.93 0.11 
NGC5457-309.4+56.9  8.35 0.03 -0.92 0.05 -1.31 0.06 -2.41 0.07 -0.78 0.06 
NGC5457+354.1+71.2  8.51 0.10 -1.23 0.19 -1.17 0.20 -2.18 0.11 -0.70 0.03 
NGC5457-164.9-333.9 8.53 0.03 -1.23 0.08 -1.33 0.07 -2.27 0.06 -0.89 0.05 
NGC5457+360.9+75.3  8.51 0.02 -1.22 0.05 -1.11 0.05 -2.16 0.05 -0.69 0.03 
NGC5457-377.9-64.9  8.52 0.06 -1.08 0.10 -1.33 0.11 -2.33 0.08 -0.62 0.07 
NGC5457-99.6-388.0  8.39 0.01 -1.12 0.03 -1.29 0.04 -2.08 0.04 -0.71 0.01 
NGC5457-397.4-71.7  8.33 0.04 -1.06 0.07 -1.46 0.08 -2.64 0.07 -0.60 0.07 
NGC5457-226.9-366.4 8.28 0.06 -1.20 0.12 -1.28 0.13 -2.22 0.08 -0.93 0.05 
NGC5457-405.5-157.7 8.14 0.02 -1.02 0.04 -1.49 0.04 -2.26 0.05 -0.84 0.04 
NGC5457-345.5+273.8 8.35 0.04 -1.17 0.09 -1.33 0.09 -2.44 0.09 -0.53 0.07 
NGC5457-410.3-206.3 8.32 0.09 -1.14 0.14 -1.62 0.16 -2.31 0.11 -0.94 0.08 
NGC5457-371.1-280.0 8.33 0.03 -1.11 0.07 -1.48 0.06 -2.36 0.05 -0.67 0.01 
