5.63816e+0	-1.72906e+0
5.86842e+0	-1.72906e+0
6.07237e+0	-1.72906e+0
6.21711e+0	-1.72414e+0
6.40789e+0	-1.71921e+0
6.64474e+0	-1.71429e+0
6.78289e+0	-1.70936e+0
7.06579e+0	-1.68966e+0
7.27632e+0	-1.66502e+0
7.43421e+0	-1.64039e+0
7.55921e+0	-1.61576e+0
7.69079e+0	-1.58128e+0
7.82895e+0	-1.53695e+0
7.93421e+0	-1.49754e+0
8.01974e+0	-1.45813e+0
8.11184e+0	-1.41379e+0
8.19079e+0	-1.36946e+0
8.26974e+0	-1.32512e+0
8.35526e+0	-1.27094e+0
8.44079e+0	-1.21182e+0
8.51316e+0	-1.16256e+0
8.58553e+0	-1.10837e+0
8.67763e+0	-1.03448e+0
6.90132e+0	-1.70443e+0
7.17763e+0	-1.67980e+0
8.75000e+0	-9.75369e-1
8.83553e+0	-9.06404e-1
8.96053e+0	-7.98030e-1
9.06579e+0	-7.04433e-1
9.15132e+0	-6.25616e-1
9.23684e+0	-5.41872e-1
9.30921e+0	-4.72906e-1
9.37500e+0	-4.13793e-1
9.45395e+0	-3.39901e-1
9.51316e+0	-2.85714e-1
9.57895e+0	-2.21675e-1
5.76316e+0	-1.72906e+0
