# region	12+log(O/H)	log(N/O)	log(S/O)	log(Ar/O)	log(Ne/O)
# Abundances are followed by the associated uncertainty
NGC5194-4.3+63.3    8.73 0.14 -0.43 0.16 -1.19 0.24 -2.56 0.21            
NGC5194-33.2+58.0   8.89 0.16 -0.42 0.19 -1.02 0.28 -2.06 0.24            
NGC5194-62.2+50.3   8.79 0.13 -0.55 0.17 -1.19 0.24 -2.08 0.20            
NGC5194+75.5-28.7   8.47 0.12 -0.42 0.15 -1.18 0.21 -2.04 0.17            
NGC5194+96.1+16.8   8.70 0.09 -0.48 0.11 -1.13 0.16 -2.06 0.14            
NGC5194+91.0+69.0   8.72 0.13 -0.48 0.16 -1.07 0.21 -1.87 0.15            
NGC5194-86.5-79.4   8.54 0.04 -0.43 0.05 -1.27 0.08 -2.24 0.08            
NGC5194-22.5+122.8  8.77 0.15 -0.58 0.20 -1.25 0.27 -2.15 0.22            
NGC5194+112.7+37.7  8.61 0.08 -0.46 0.10 -1.12 0.14 -2.06 0.12            
NGC5194+76.6+96.3   8.77 0.10 -0.63 0.14 -1.36 0.18 -2.30 0.16            
NGC5194-97.0-78.4   8.52 0.03 -0.52 0.05 -1.13 0.07 -1.98 0.06            
NGC5194-3.0+131.9   8.64 0.11 -0.69 0.14 -1.55 0.19 -2.19 0.14 -0.70 0.12 
NGC5194-57.2+118.2  8.53 0.08 -0.63 0.10 -1.38 0.14 -2.17 0.11 -0.76 0.11 
NGC5194-78.9+107.4  8.87 0.15 -0.76 0.19 -1.56 0.25 -2.27 0.21            
NGC5194-82.0-102.7  8.59 0.12 -0.59 0.15 -1.47 0.21 -2.68 0.18            
NGC5194-66.6+122.9  8.69 0.09 -0.80 0.12 -1.56 0.16 -2.09 0.13            
NGC5194+56.8+126.5  8.68 0.14 -0.60 0.17 -1.42 0.23 -2.28 0.20            
NGC5194+30.8+139.0  8.75 0.09 -0.66 0.10 -1.57 0.15 -2.37 0.11 -0.69 0.10 
NGC5194+104.1-105.5 8.56 0.04 -0.60 0.06 -1.24 0.08 -2.04 0.07            
NGC5194+98.1-113.8  8.54 0.03 -0.51 0.04 -1.19 0.05 -2.10 0.05 -0.86 0.04 
NGC5194+71.2+135.9  8.56 0.05 -0.59 0.06 -1.41 0.09 -2.24 0.08 -0.78 0.08 
NGC5194+83.4-133.1  8.57 0.06 -0.55 0.07 -1.26 0.10 -1.95 0.08            
NGC5194+109.9-121.4 8.51 0.07 -0.57 0.09 -1.16 0.12 -2.08 0.10 -0.70 0.10 
NGC5194+112.2-126.6 8.75 0.12 -0.72 0.16 -1.40 0.22 -2.17 0.18            
NGC5194+150.6+99.0  8.67 0.11 -0.70 0.15 -1.31 0.19 -2.11 0.14            
NGC5194-159.5-116.4 8.73 0.09 -0.72 0.11 -1.47 0.16 -2.14 0.12            
NGC5194-135.4-181.4 8.61 0.07 -0.77 0.10 -1.30 0.13 -2.18 0.10 -0.65 0.08 
NGC5194+114.5+230.8 8.46 0.06 -0.69 0.08 -1.25 0.11 -2.08 0.08 -0.83 0.06
